Resistor_Name,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Value,Unit
A26GateLine_0_1,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.13500537274547172,0.05300034670376864,-0.05624983320652263,652.8697841047547,Ohm
A26GateLine_0_2,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.13500612936212894,0.07100041154293071,-0.05624958119481451,173.97828017816244,Ohm
A26GateLine_0_3,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.13500583701870894,0.01700063419117365,-0.05625092926957593,1038.0557759952508,Ohm
A26GateLine_0_4,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.13500537274547167,0.034999371063953816,-0.05625031733627433,1011.1344424542477,Ohm
A26GateLine_0_5,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.1350054659325343,0.19200034530912138,-0.05625087662520465,10.971875379577174,Ohm
A26GateLine_0_6,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.1350053184073717,0.13799972482141856,-0.05625004852538629,67.18673670626427,Ohm
A26GateLine_0_7,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.1350053727454717,0.15600010574577097,-0.056250516641631956,64.49852705864475,Ohm
A26GateLine_0_8,0.13500186229069672,0.23199999999999998,0.006262905396533611,0.13500539693886493,0.1739998020073181,-0.056250106731587285,39.30143010641283,Ohm
A26GateLine_1_2,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.13500612936212894,0.07100041154293071,-0.05624958119481451,1.177099717734833,Ohm
A26GateLine_1_3,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.13500583701870894,0.01700063419117365,-0.05625092926957593,20.093138809196393,Ohm
A26GateLine_1_4,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.13500537274547167,0.034999371063953816,-0.05625031733627433,1.214153227804296,Ohm
A26GateLine_1_5,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.1350054659325343,0.19200034530912138,-0.05625087662520465,495.2741977577099,Ohm
A26GateLine_1_6,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.1350053184073717,0.13799972482141856,-0.05625004852538629,52.3707302205539,Ohm
A26GateLine_1_7,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.1350053727454717,0.15600010574577097,-0.056250516641631956,260.20811308304627,Ohm
A26GateLine_1_8,0.13500537274547172,0.05300034670376864,-0.05624983320652263,0.13500539693886493,0.1739998020073181,-0.056250106731587285,467.19540994421135,Ohm
A26GateLine_2_3,0.13500612936212894,0.07100041154293071,-0.05624958119481451,0.13500583701870894,0.01700063419117365,-0.05625092926957593,35.914037179608805,Ohm
A26GateLine_2_4,0.13500612936212894,0.07100041154293071,-0.05624958119481451,0.13500537274547167,0.034999371063953816,-0.05625031733627433,20.76613866599128,Ohm
A26GateLine_2_5,0.13500612936212894,0.07100041154293071,-0.05624958119481451,0.1350054659325343,0.19200034530912138,-0.05625087662520465,129.7282241348671,Ohm
A26GateLine_2_6,0.13500612936212894,0.07100041154293071,-0.05624958119481451,0.1350053184073717,0.13799972482141856,-0.05625004852538629,6.225425112248607,Ohm
A26GateLine_2_7,0.13500612936212894,0.07100041154293071,-0.05624958119481451,0.1350053727454717,0.15600010574577097,-0.056250516641631956,54.59696588245774,Ohm
A26GateLine_2_8,0.13500612936212894,0.07100041154293071,-0.05624958119481451,0.13500539693886493,0.1739998020073181,-0.056250106731587285,115.88149969206737,Ohm
A26GateLine_3_4,0.13500583701870894,0.01700063419117365,-0.05625092926957593,0.13500537274547167,0.034999371063953816,-0.05625031733627433,1.162939394132726,Ohm
A26GateLine_3_5,0.13500583701870894,0.01700063419117365,-0.05625092926957593,0.1350054659325343,0.19200034530912138,-0.05625087662520465,791.0374650031638,Ohm
A26GateLine_3_6,0.13500583701870894,0.01700063419117365,-0.05625092926957593,0.1350053184073717,0.13799972482141856,-0.05625004852538629,109.48478846322251,Ohm
A26GateLine_3_7,0.13500583701870894,0.01700063419117365,-0.05625092926957593,0.1350053727454717,0.15600010574577097,-0.056250516641631956,439.73667635756,Ohm
A26GateLine_3_8,0.13500583701870894,0.01700063419117365,-0.05625092926957593,0.13500539693886493,0.1739998020073181,-0.056250106731587285,756.2396955536374,Ohm
A26GateLine_4_5,0.13500537274547167,0.034999371063953816,-0.05625031733627433,0.1350054659325343,0.19200034530912138,-0.05625087662520465,769.7203228270806,Ohm
A26GateLine_4_6,0.13500537274547167,0.034999371063953816,-0.05625031733627433,0.1350053184073717,0.13799972482141856,-0.05625004852538629,100.49708493685193,Ohm
A26GateLine_4_7,0.13500537274547167,0.034999371063953816,-0.05625031733627433,0.1350053727454717,0.15600010574577097,-0.056250516641631956,422.8279156644418,Ohm
A26GateLine_4_8,0.13500537274547167,0.034999371063953816,-0.05625031733627433,0.13500539693886493,0.1739998020073181,-0.056250106731587285,733.7231010108145,Ohm
A26GateLine_5_6,0.1350054659325343,0.19200034530912138,-0.05625087662520465,0.1350053184073717,0.13799972482141856,-0.05625004852538629,42.168042842853794,Ohm
A26GateLine_5_7,0.1350054659325343,0.19200034530912138,-0.05625087662520465,0.1350053727454717,0.15600010574577097,-0.056250516641631956,22.056426107425693,Ohm
A26GateLine_5_8,0.1350054659325343,0.19200034530912138,-0.05625087662520465,0.13500539693886493,0.1739998020073181,-0.056250106731587285,1.1738223682347608,Ohm
A26GateLine_6_7,0.1350053184073717,0.13799972482141856,-0.05625004852538629,0.1350053727454717,0.15600010574577097,-0.056250516641631956,1.1834392287578837,Ohm
